index,title,simpletags,deepertags,degree
42,master of technology energy and environmental engineering,master technology energy environmental engineering,Physicochemical biological Principles Processes Environmental Quality Monitoring Renewable Energy Technologies Design Water Wastewater Treatment Systems Energy Audit Conservation Management Environmental Ecology Solid Hazardous Waste Management Urban Environmental Quality Management Environmental Geo technology Energy Environment Climate Change Environmental Economics Legislation Audit Impact Assessment Advanced Wastewater Treatment Environmental Hydrology Modelling Environmental Remote Sensing GIS Applications Risk Assessment Disaster Industrial Waste Management Disposal Atmospheric Processes Climate Change Air Pollution Control Biotechnology Bio Energy Technologies Alternative Fuels Wind Energy Technology Small Hydro Power Systems Hydrogen Fuel Cells Nuclear Power Electrical Energy Management Energy Built Environment Design Thermal Systems Energy Systems Modelling Analysis Fuels Combustion Computational Fluid Dynamics Advanced Heat transfer Solar Energy Technologies Thermodynamics Heat Transfer Fluid flow Measurements Measuring Instruments Power Plant ,master of technology
43,bachelor of science botany/plant biology,bachelor science botany plant biology,"Biology	Plant Resource Plant Systematics Evolution Algae Microbiology Mathematics Statistics Plant Physiology Chemistry Cell Biology Environmental Management Bioinformatics Communication Molecular Biology Genetics Genomics Mycology Phytopathology Plant Development Anatomy Metabolism Archegoniatae	Ecology Phytogeography Reproductive Biology Angiosperms Biotechnology Biochemistry	",bachelor of science
44,Environmental Engineer,bachelor science engineering chemical technology master masters master's bachelors bachelor's Petroleum Mechanical Engineering Environmental Science civil engineer environmental zoology botany chemistry science management energy chemistry agriculture health project plant environment agricultural biotechnology biology,regulatory compliance  identifying compliance issues records air emission monitoring compliance wastewater groundwater monitoring compliance solids hazardous waste monitoring compliance refinery environmental systems wastewater system analyzers air emission RegPerfect database LDAR RCRA NPDES watershed flood management asset management system GIS Floodplain Management FEMA NFIP flood resiliency strategic plan AutoCAD Designing technology pollution control waste management Collecting analyzing environmental data site assessments environmental impact commercial activity human influences environmental conservation management recycling public health water air pollution Identifying critical research renewable energy climate change food water security environmental protection designing management systems design projects comply environmental health regulations environmental investigative policymakers environmental best practices,profile
45,bachelor of science marine engineering,bachelor science engineering marine,"General Psychology Alcohol Drug Prevention Analytic Geometry Solid Geometry Engine Watch keeping Engine Officers Ship Construction Ship Stability Marine Pollution Prevention Mechanics Hydrinechanics Marine Vocabulary Terms Marine Power Plant Diesel Fuel Oils Lubricants Spherical Trigonometry Aptitude Service Ship Routine engineering Drawing Auxiliary Machinery Marine Power Plant Plane Trigonometry Engineering Physics Electro Technology General Chemistry Integral Calculus College Algebra 
Machine Shop Heat Balance Basic Safety ",bachelor of science
46,bachelor  of technology naval architecture and marine engineering,bachelor technology naval architecture marine engineering,Ocean Engineering systems operated ocean environment exploration exploitation oceanic resources offshore oil gas sea­bed minerals renewable energy biological resources marine sea food transportation ships marine crafts submarine underwater remotely operated vehicles recreational crafts floating resorts simulation marine hazards  Naval Architecture design transportation systems ships ship design marine hydrodynamics water wave mechanics marine structures structural mechanics marine structures marine construction welding coastal engineering physical dynamical oceanography port harbor engineering shipbuilding ship repairing yards marine Navy Coast Guard Coastal Engineering companies Naval Defense R&D environmental agencies coastal protection Pattern Recognition Artificial Intelligence Industrial Ship Design Project Business Fundamentals Economics Vibration Noise Marine Power Plant Comprehensive Physical Oceanography Automation Control Theory Hospital Management Marine Structures Motion Control Marine Design Marine Production Marine Materials Hydrodynamics Digital Image Processing Marine Systems Computer Aided Design Production Industrial Management CAD Thermodynamics Electronics Hydrostatics Stability Marine Hydrodynamics Machine Design Ocean Engineering Resistance Propulsion Marine Construction Welding Marine Marine Structures computations Hydrostatics Stability Chemistry Mechanics Electrical Technology Engineering Drawings Graphics EAA Physics Programming Data Structure Programming Data Structure Drawings Graphics Fluid Dynamics Naval Architecture ,bachelor  of technology
47,Marine Engineer,marine engineering maritime engineering bachelor naval architecture engineer bachelors bachelor's master masters master's mechanical marine science technology science mechanical automation,Monitoring maintenance mechanical systems designs builds tests repairs ships boats underwater craft offshore platforms drilling equipment  blueprints designing engines propulsion systems testing prototypes passenger boats sailboats cruise ships submarines military battleships aircraft carriers Steering control systems Static Dynamic structural analysis classical Finite Element Analysis FEA SolidWorks 3D-CAD SolidWorks Enterprise PDM program electrical hydraulic auxiliary systems Propulsion systems gas turbine diesel engine nuclear reactor boatbuilding American Bureau Shipping ABS Naval Ships International Code Safety High Speed Craft MIL-STD requirements Mechanical electrical systems  Integrated Product Team (IPT) Naval Architecture hydrodynamics mechanical engineering structures materials heat transfer industry standard design recreational vessels cargo ships small passenger vessels cruise ships desired,profile
48,Mechanical Engineer,mechanical engineering bachelor bachelor's master masters master's technology engineer mechanical technology,Plan conceptualize create mechanical designs Develop testing processes perform testing validation Generate working prototypes Create review technical drawings plans specifications computer software vendors contractors project development design process Application Engineer Design Engineer Design Maintenance Engineer Equipment Engineer Mechanical Design Engineer Mechanical Engineer Process Engineer Product Engineer Project Engineer Test Engineer CAD software SolidWorks AutoCAD,profile
49,bachelor  of technology petroleum engineering,bachelor technology engineering petroleum,Mechanical Engineering Applied Mathematics Statistical Geology Petroleum Production Operations Drilling Fluids Cement reservoir Drilling Technology Managerial Economics Humanities Social Science HSS surveying Theory Petroleum Engineering Geology Petroleum Surveying Applied Petroleum Resource Engineering Management Directional Drilling Petroleum Production Operations Petroleum Formation Sedimentary Petroleum Geology Applied Electrical Petroleum Engineering sedimentary Petroleum Geology Oil Gas Well Petroleum Design Offshore Drilling Enhanced Oil Recovery Techniques Health Safety Environment Petroleum Reservoir Modelling Simulation Pipeline Industrial Engineering Management Oil Gas Marketing Resource Management Petroleum Well Performance Intervention Offshore Drilling System Design Thermodynamics Reservoirs Drilling Exploration Geology Petroleum GeoMechanics Control Measurement Strength Materials Oil Recovery Science Pipeline Design Engineering Chemical Kinetics Oil Gas Processing System Design Deep sea Production System Drilling Well Completion Reservoir Design Reservoir Modelling Machines Equipment Transportation ,bachelor  of technology
50,bachelor  of technology applied petroleum engineering,bachelor technology applied petroleum engineering,petroleum operation Physics Thermodynamics heat engine Design Drilling hydraulics Sedimentary petroleum geology Graphics Reservoir Applied Production Well stimulation Offshore drilling production operations Drilling well completion Petroleum exploration material Reservoir modelling simulation Surveying Natural gas Health safety environment management log analysis Geomechanics,bachelor  of technology
51,Petroleum Engineer,bachelor bachelors bachelor's master masters master's petroleum engineering technology civil mechanical chemical engineer applied,Design drilling equipment extracting oil gas onshore offshore reserves cost effort feasibility Devise plans methods drill fields recover oil gas Develop modify tools designs installed operated maintained geoscientists geologic formation oil gas reservoir Monitor drilling operations drilling techniques methods Analyzing interpreting monitoring geological formation extraction risks best methods extraction Using surveys testing analysis reservoirs profits low-cost drilling extraction Generating computer-simulated models drilling formation equipment ensuring designing tool equipment extraction managing machinery production costs efficient drill internal divisions free-flowing single well fracture shale beds free gas oil production operations efficient extraction drilling extraction transportation safety environmental regulations Maintaining on-site drilling pumping equipment Developing refining methods extracting petroleum existing wells production analysis forecasting onshore basins production commodity price timing reservoirs Python Numpy Pandas SQL Spotfire,profile
52,bachelor of computer applications computer science,bachelor computer applications science computer,"Hardware Case Tools Statistics Operating Systems Digital Computer Data Structures Programming C Data Structures Visual Software Financial Management Financial Accounting Computer Networks Software Programming Java Database Management Systems Java Object Oriented C++ DBMS Project Web Technology Oracle Domain Lab Unix Design Analysis Algorithms OOAD UML Client Server Computing User Interface Design Client Server Computing Graphics Animation Cloud Computing Python Multimedia Applications Business Intelligence Soft Computing Graphics Animation Database Management System Python Unix Lab Operating Systems Computer Graphics Animation Java Computer Networks	Web Designing Project Business Intelligence Lab IT Technologies	Internet Technologies Music Video Processing Network Systems Management Information System MIS Database Management System DBMS Languages C++ JAVA Systems Analysis Computer Graphics Internet Technologies Cost Accounting Organizational Behavior File Structure Database Concepts Management Accounting Visual Basic RDBMS Networking Human Resource Management VB+ SAD Cyber Law Multimedia Systems NET Frameworks",bachelor of computer applications
53,bachelor of technology instrumentation and control engineering,bachelor technology instrumentation control engineering,"Chemistry Elements electrical electronics Environmental Communication Mathematics Computer programming Engineering drawing Workshop practice Digital technique	Linear electronics mechanical engineering Electrical engineering material economics business management Control system design Control theory Circuit theory Simulation packages Microprocessor Electrical technology Instrumentation system Industrial electronics Biomedical instrumentation Micro controller Process control Control system components Visual Digital signal processing Comprehensive Industrial drives control Non Linear digital control Sensors Transducers Materials Science Thermodynamics Fluid Mechanics Circuit Theory Digital Electronics Signals Systems Industrial Instrumentation Analog Signal Processing Electrical Electronic Measurements Microprocessors and Microcontrollers Control System Instrumentation Practices Industries Communication Systems Control System Product Design Development Product Design Development Analytical Instrumentation Optical Instrumentation Medical Instrumentation Micro Electro Mechanical System Automotive Instrumentation Instrumentation Control Power Plant Instrumentation Control Petrochemical Industries Instrumentation Control for Paper Cement Industries Instrumentation Agricultural Food Processing Industries Piping Instrumentation Diagram Measurement Data Analysis Building Automation Digital Control Identification Adaptive Control Fault Detection Diagnosis Computational Techniques Control System Process Modelling Optimization Control System Components Network Control System Digital Signal Processing Power Electronics Embedded System Smart Wireless Instrumentation Digital Image Processing Multi Sensor Data Fusion Medical Imaging System Industrial Data Energy Harvesting Techniques Smart Materials Systems Hydraulics Pneumatics Internet Things System Design Software Design Tools Sensing Control Industrial Electric Drives Neural Networks and Fuzzy Logic Non Linear Control Logic Distributed Control System",bachelor of technology
54,bachelor of engineering information science,bachelor engineering science information,Computer Aided Engineering Drawing Engineering Mathematics Digital Logic Microprocessor Electrical electronics Physics Computer Programming C C++ Computer Programming Python Mechanics Digital Logic Microprocessor Computer Architecture Design Analysis algorithms Database Management Systems Graph Theory Combinatorics Electronic Circuits Object Oriented Software Engineering Operating System Principles data Structures Java Programming Computer Organization Database Management Systems Big Data Cryptographic Network Security Computer Networks Web Programming Automata Theory Computability Data Mining Financial Business Analytics File Structure Computer Networks Web Programming Information Retrieval Storage Information Systems Machine Learning Software Architecture Design algorithms Electronic Circuits ,bachelor of engineering
55,Software Engineer,bachelor bachelors bachelor's master masters master's engineering technology computer science software systems engineer electronics information systems mathematics physics engineering technology electrical communications telecommunication robotics automation mechatronics mathematics information applications mechanical instrumentation control communication,analyse user requirements write test code refining rewriting research design write software programs business applications computer games computer operating systems hardware develop analysing identifying integrate existing software products platforms work together create technical specifications write systems scheduling software graphic artists UX designers developers systems analysts Analyzing information General programming skills Software design Software debugging Software documentation Software testing Software development fundamentals Software development process Software requirements Hadoop Hive Pig Oozie Map Reduce Spark Sqoop Kafka Flume DevOps building deploying infrastructure cloud deployment technologies ansible chef puppet test-driven development automated testing frameworks Scrum Agile development methodologies infrastructure automation technologies Docker Vagrant build automation technologies Maven Jenkins monitoring technologies Nagios Ganglia programming languages Java Python building APIs API services REST SOAP scripting languages Perl Shell Analyze design develop tests test-automation suites Design develop processing platform management technologies Test software development methodology agile environment Provide ongoing maintenance support systems platforms Collaborate cross-functionally data scientists business users project managers Provide recommendations continuous improvement Java Ruby Rails .NET programming languages C++ JScript.NET software development life cycle SDLC system analysis tests deployment Develop flowcharts layouts documentation identify requirements solutions Write testable code Produce specifications determine operational feasibility Integrate software components software system Develop software verification plans quality assurance procedures Document maintain software functionality Troubleshoot debug  upgrade existing systems Deploy programs evaluate user feedback Comply project plans industry standards C++ programming languages relational databases SQL ORM technologies JPA2 Hibernate developing web applications web framework JSF Wicket GWT Spring MVC,profile
56,bachelor of architecture architecture,bachelor architecture,"Structures Graphics Architectural Drawing Architecture Building Services Estimation Cost Accounting Survey Computer Application Byelaws bye laws Materials Structural Systems Allied Legal Knowhow Energy Efficiency Design Urban Project Management Site Planning Landscape Urban Planning Housing Rural Planning Transportation Planning Real Estate Development Design Design Philosophy Vernacular Design Conservation Urban Design Landscape Architecture Architectural Journalism Art Construction BIM
Operation Research Hospital Management Film Animation Computer Application GIS Principles Sthapatya 3D modeling Graphic Design RERA WTO Labour Law",bachelor of architecture
57,bachelor of technology architectural engineering,bachelor technology engineering architectural,"Thermodynamics Fundamental Architecture Studio Chemistry Physics Mechanics	Building Construction Programming Surveying Structural Analysis Fluid Systems GeoTechnical Systems Climatology Design Studio Strength Materials Building Construction Soil Mechanics Drawings Interior Architecture Space Concrete Structures Steel Structures Architectural Design Studio Complex Buildings Concrete Structures Water Resources Matrix Methods Structural Analysis Urban Design Industrial Management Remote Sensing GIS Urban Planning Architectural Acoustics Air Water Quality Surveying Environmental Impact Finite Element Method Architecture Data Structures Geometry Graphics Visual Communication	Building Materials Manufacturing Processes Modelling Mechanics Environmental Studies Computer Aided Design Simulation Climatology Solar Architecture Water Supply Sanitation Illumination Electrical Services	Working Drawing Concrete Detailing Design RC Estimation Costing Architectural Detailing Architectural Design Steel Structures Interior Design Air conditioning Documentation of innovative Landscape Design Site Planning Site Supervision Building Acoustics Field Town Planning Urban Design Building Bye-Laws Construction Project Management Contemporary Architecture Housing Community Planning Estimation Costing Valuation RCC Structures ",bachelor of technology
58,bachelor of science interior design,bachelor science design interior ,Design Point Nature Line Colour Material Shape 2 D Form Value Space Texture 3 D Unity Proportion Scale Balance Contrast Symmetry Focus Harmony Hierarchy Rhythm Grids Creating Repetitive Patterns Geometry Transformations Forms Combined Primitive Shapes Colour Psychology Colour Systems Munsell DIN Ostwald CIE OAS Gerritsen Kupper NCS Colour aid System Simplified Colour System Colour Systems Physics Physiology Psychology Colours Special Mixed Effects Texture Visible Spectrum Colored Light Temperature Colour Interaction Blindness Residential Interiors Non Colour Wheel Special Situations Outdoor Indoor Spaces Accessories Art Works Primary Secondary Tertiary Schemes Value Intensity Modification Hues Tints Shades Neutralization Harmony Harmony Types Making Using Creativity Problem Solving Creativity Tools Techniques Creativity Thinking Techniques Art Purpose Relevance Art Ornament heritage Interiors Art General Understanding Interior Design Integration Architecture Design Drawing Graphics Industrial Influence Society Culture Drawing Practice Interiors Furniture Sketching Materials Applications Measuring Drawing Scale Communication Skills Masonry Bamboo Timber Wood Cane Paints Varnishes oil spirit Model Making Moulds Ceramic Materials Hand Building Space Planning Problem Statements Anthropometrics ,bachelor of science
59,Architectural Engineer,bachelor bachelors bachelor's architectural engineering civil technology architecture mechanical design interior science ,Study evaluate construction designs blueprints structural integrity safety building styles aesthetics building plans structures prototypes structural mechanical wind loads vibrations earthquakes Design analyze air conditioning systems heating ventilation optimizing energy conservation efficiency construction operations trends developments architectural engineering safe designs building codes material computer-aided design drafting CADD architectural documents building models preparing construction drawings Design heating plumbing lighting ventilation systems Analyze building plans blueprints Direct supervise building compliance standards specifications architects engineers project managers design cost estimates construction materials compliance government housing laws building codes Sketch design building plans drafting CAD programs electrical structural fire protection systems structural integrity seismic vibrations fire alarms lightening protection Archicad Revit Adobe Creative Suite,profile
60,diploma  sound engineering,diploma engineering sound ,"Audio Engineering Sound Design Synthesis Recording Microphones Techniques Studio techniques	Unleashing Art Physics Musical Instrument Development Power MIDI Musical Instrument Digital Surface Music theory Ear Training Electronics Decibels Custom Library Development Sound Design Synthesis Sampling Audio Cables Interconnections Movie Background Scoring Automation Acoustics Studio Design Mixing Mastering Analog Digital Consoles Audio fundamentals sound Acoustics  home studio sound Digital Audio DAW Logic Pro X ProTools Audio editing workflow DAW Gain Staging Signal Processing Dynamic Modulation effects Electronics Cables Connectors Microphones recording techniques Recording mixing workshop Recording workflow DAW templates Mix Deconstructions western music theory Deconstruction production arrangement techniques DAW workflow continued advanced techniques audio management processing synthesis Subtractive Wavetable Wave sync FM synthesizers Vocal production time pitch correction techniques Logic Pro X ProTools Melodyne Working session musicians Mix Deconstructions Sound film Western Music theory continued Hindustani classical music appreciation Multiple recording sampling projects",diploma 
61,bachelor of arts arts,bachelor arts,Public Policy Administration Econometrics Urban Geography Communication Development Philosophy mind Global Politics Contemporary Literature Public Policy Administration Ability Enhancement Course Ethics Public Domain Economic Development Agricultural Development Issues Perspectives Religions World Social Problems Government Politics Political Ideologies administrative Theory Foundation Course Humanities Social Sciences Prose Poetry Literature Language ,bachelor of arts
62,bachelor of creative arts creative arts,bachelor creative arts ,Aesthetics Design Communication Human Values Professional Ethics Market Research Mural Visual Graphics BFA Geometry Perspective Sketching Drawing Painting Design Lettering Layout Clay Modelling Sculpture Printmaking 2D Art Design Computer Graphics Communication Illustration Communication Design Advertising Art Painting Applied Arts Plastic Arts Pottery Ceramics Textile Design Music Drama Theatre Digital Arts Calligraphy Cartooning Dance Graphic Designing Illustration Photography Printmaking Sculpture Market Research Visual Arts Process Practices Composition ,bachelor of creative arts
63,diploma audio engineering,diploma engineering audio,"Audio Engineering Applications Sound Design Synthesis Recording Microphones Techniques Studio techniques sound Art Physics Musical Instrument Development MIDI Musical Instrument Digital Surface Music theory Ear Training Electronics Decibels Custom Library Development Sound Design Synthesis Advanced Sampling TV channels radio stations broadcast firms music companies sound studios record production R&D firms sound system marketing Studio Sound Audio Studio Designer Live Sound Mixing Engineer Mastering Music Arranger Audio Post Production Music Dialogue Editor Location Recordist Digital Media Entrepreneur Sound Recordist Audio Cables Interconnections Movie Background Scoring Automation Acoustics Studio Design	Mixing Mastering Analog Digital Consoles Music Production Audio fundamentals, The nature of sound Acoustics home studio sound Digital Audio DAW’s Logic Pro X ProTools Audio editing workflow DAW’s Gain Staging Signal Processing Dynamic Modulation based effects Basic Electronics Cables Connectors Microphones recording techniques Recording mixing workshop Recording workflow DAW Mix Deconstructions western music theory MIDI Sampling Deconstruction production arrangement techniques DAW workflow continued advanced techniques audio management processing synthesis Subtractive Wavetable Wave sync FM synthesizers
Vocal production time pitch correction techniques Logic Pro X ProTools Melodyne musicians Mix Deconstructions Sound film Western Music theory  Hindustani classical music Multiple recording sampling projects Synthesisers physical modelling sample based granular additive synthesis Advanced MIDI Logic Pro X ProTools Live Sound Multiple recording production composition projects Sound Design Music Business Legal Final recording production tandem multiple producers involving composition arrangement mix ",diploma
64,bachelor of arts sound design,bachelor arts design sound ,Sound Creation Manipulation Capture Culture Perception Communication Sound Practitioners applied sound Design Compositional Strategies Collaborative Sound Culture Perception Communication Sound Practitioners Research Development Pro Tools Logic Pro X Ableton Live Nuendo Media Equipments Visual Contemporary Sociology Digital Audio Music Recording Mixing Modern Media Management Event Development Communication field work Media marketing Research Techniques Film Location Sound surround Sound Mixing Music ,bachelor of arts
65,bachelor in mass media sound engineering,bachelor mass media engineering sound ,Management and Marketing Creative Writing Public Relations Media Studies Advertising Journalism Copywriting Writing Media journalism Reporting Writing Editing Indian Culture Socio Economic Political Scenario Design Graphics Print Broadcasting Print Journalism Media Laws Ethics Still Photography State Politics Constitution Communication Computer Media Development Communication Radio Journalism Production Media Management Camera Lights Sound Folk Media Television Journalism Production Advertising Public Relations Economics Indian Economy National International Affairs Advertising Practices Event Management Principles Methods Media Research Environment Communication Tribal Research Media Organisation Management Contemporary Issues Global Media Scenario Value Education Print Media Growth Development Print Media Reporting Desk Electronic Media advertising Current Affairs Development Communication Media Management Media Law Ethics Radio TV Production Techniques New Media Print Media Intercultural International Communication Public Relations Corporate Communication Media Human Rights Film Studies Media Society Photography Intercultural Environment ,bachelor in mass media
66,post graduate diploma audiography,post graduate diploma audiography,Research speech-language hearing Statistics speech-language hearing Technology speech-language hearing Auditory physiology auditory perception Neurophysiology hearing Psychophysics audition Speech Perception Physiological assessment auditory system Psychophysics audition hearing impaired Seminars assessment impaired Speech perception clinical population Electrophysiological auditory system Audiology Assessment management central auditory processing disorders rehabilitative audiology Implantable hearing impaired,post graduate diploma
67,bachelor of arts mass communication,bachelor arts communication mass ,"Political Science	 Journalism Theatre Advertising Public Relations History Indian Cinema Design Tools Sociology Audio Visual Communication Aesthetics Visual Mass Foundation Photography Business Managerial Communication Marketing Management Language Culture Communication News Reporting Editing Perspective Media Businesses Audio Visual Audiography Music Research Methodology Consumer Behaviour Insights Post Production Camera Lighting Television News Creative Writing Digital Marketing Emotional Intelligence Workplace Retail Marketing Photojournalist Content Writer Radio Jockey News Editor Advertiser Columnist",bachelor of arts
68,Audio Engineer,Bachelor's bachelor bachelors master masters master's Acoustics Electrical Computer Engineering Physics arts music electrical sound audio design science mass media production recording technology audiography diploma communication creative post graduate ,voice quality measurement HEAD Acoustics ACQUA HATS digital filters noise reduction echo suppression microphone beamforming AGC MBDRC developing audio systems Linux Android systems network simulators R&S CMU CMW ITU-T 3GPP ETSI voice communications Acoustic electrical Soundcheck Audio Precision acoustics loudspeakers microphones digital audio digital signal processing Define tune voice processing algorithms coordinate algorithm enhancements acoustic engineers loudspeaker microphone architecture devices far field voice quality speech recognition performance audio processing signal chain characteristics acoustic transducers audio codecs audio post-processing Audacity Adobe Audition audio test systems SoundCheck Head Acoustics ACQUA audio production live broadcast productions Video Technical Operations equipment workﬂow live broadcast audio production live broadcast audio operation maintenance broadcast audio systems live audio consoles Calrec intercom systems RTS audio routing Dante Protocol RF microphones IFBs IEMS stage monitors audio systems management mixing mix clean broadcast productions IFB RTS non live audio systems remote podcasts voiceovers live tape productions stadiums studios networks broadcast trucks microphone types audio DSPs performance characteristics Audio DSP programming system design use configure patch large-format digital audio mixing consoles SSL mixing consoles Dante MADI room sound live-transmission L’acoustics loudspeakers identifying signal routing monitoring quality assurance technical director camera operator editor,profile
69,bachelor of technology leather technology,bachelor technology technology leather,Chemistry Engineering Mechanics Language Elective Electrical Machines Drives Materials Science Mechanical Engineering Mechanics Solids Chemistry Technology Leather Manufacture Computer Applications Leather Technology Physical Chemistry Material Testing Unit Operations Processes Leather Manufacture Special Functions Difference Equations Leather Goods Garment Technology Numerical Methods science Technology Leather Auxiliaries mechanism Inorganic Tannages Footwear Technology Organisation Management Leather Manufacture Plant Design Leather Chemical Processing Economics Industrial Tannery Waste Management Environmental Science Quality professional Ethics Post Tanning Finishing Organic Tannages Skin Proteins Pre tanning Operations Statistics Linear Programming organic Chemistry Mathematics ,bachelor of technology
70,bachelor of technology industrial engineering,bachelor technology engineering industrial,Manufacturing Processes Programming Data Structure Electrical Technology Drawing Graphics Electrical Mechanics Basic Electronics Economy Costing Accounting Production Planning Control Operations Research Information Systems Breadth Workshop Processes Quality Design Control Simulation Facility Layout Design Management Inventory Systems Machine Tools Machining Casting Forming Welding Product Development Optimization Heuristic Methods Manufacturing Processes Data Structure Electrical Technology Drawing Graphics Basic Electronics Engineering Economy Costing Accounting Production Planning control Operations Research Information Systems Quality Design Facility Layout Design Inventory Systems Machine Tools Machining Casting Forming Welding Product Development,bachelor of technology
71,bachelor of engineering manufacturing engineering,bachelor engineering engineering manufacturing,Energy conservation Solar energy utilization Energy auditing Renewable sustainable energy Basic thermodynamics heat transfer hydraulics pneumatics Manufacturing cost estimation Production operations management Material handling systems Material science Thermal Engineering Manufacturing Technology Machines Processes Civil Electrical Material Science Metallurgy Measurements Metrology Thermodynamics Computer Aided Machine Drawing Fluid Metallography Material Testing Entrepreneurship Dynamics Machinery Design Electronics Micro Processors CAD CAM Operations Research Economy Mechatronics CNC Machines Control Operations Management Facility Planning Welding Microstructures Foundry Technology Finite Element Methods Automation Manufacture Computer Graphics Mechanical Vibrations Machine Tool Design Total Quality Management Fluid Power Control Tool Design Heat Treatment Metals Just in Time Manufacturing Industrial Robotics Materials Technology Agile Welding Hydraulics Pneumatics System Design Product Design Manufacture Artificial Intelligence Expert Systems Metal Forming Technology CNC Robotics Data Base Management System Quality Assurance Energy Conversion Kinematics Machines Foundry Forging Laboratory ,bachelor of engineering
72,bachelor of engineering industrial engineering and management,bachelor engineering industrial management,"Statistics Probability Electrical Electronics Engineering Chemistry Physics Management Strength Materials Manufacturing Processes Materials Machine Drawing Computer Programming Thermodynamics Production Environmental Science Communication Lab Managerial Accounting Finance Economics Thermal Machines Work Measurement Mathematics Measurements Meteorology Mechanics Solid Metallurgy Heat Treatment Material Science Machine Design Entrepreneurship Development Operations Research Total Quality Information System Network Flow Models Applications Quality Engineering Human Resource Strategic Marketing Materials Design Analysis Reliability Maintainability Working Capital Manufacturing Planning Control	Modeling Optimization Project Computer Aided Manufacturing Manufacturing System Supply Chain Research Methodology Business Process Reengineering Ethics Leadership System Design Artificial Intelligence Thermodynamics Managerial Accounting Operation Research Quality Human Resource Meteorology Metallurgy Heat Transfer Machine Design Entrepreneurship Development System Design Machine Drawing Machines Thermodynamics Machine Design Heat Transfer ",bachelor of engineering
73,Industrial Engineer,bachelor bachelors bachelor's master masters master's industrial engineering technology mechanical manufacturing production electronics instrumentation management electrical leather production electrical electronics communication engineering management,distribution logistics 3D simulation software FlexSim AutoCAD C coding languages Catia Solidworks Revit layout material flow material flow analysis Material Flow System Design Develop material flow models project material flow headcount assess congestion execute buffer quantities manufacturing engineering Develop innovative cost-effective solutions packing density sustainability automated Create 3D dynamic simulation models design bulk material handling systems AutoCad Material Handling Equipment conveyors sortation robotics data mining techniques SQL distribution conveyor systems 3D drawing capabilities demo 3D google SketchUp key performance indicators initiate process improvements operation statistics quality engineering tools building layouts conveyors shelving work stations Develop revise Standard Operating Procedures SOP development RFP ROI Analysis Procurement hardware software technology building development Labor Management System Review production schedules engineering specifications manufacturing methods procedures activities Estimate production costs cost saving methods product design Draft design layout equipment materials workspace maximum efficiency drafting tools computer quality control procedures develop production design standards utilization material,profile
74,bachelor of engineering metallurgical and materials engineering,bachelor engineering metallurgical materials engineering,Electronics Materials Science Engineering Bio Science Technology Thermodynamics Materials Electronics Materials Environmental Science Technology Management Materials Processing Transport Phenomena Kinetics Metallurgical Processes Physical Metallurgy Materials Processing Corrosion surface engineering Mechanical properties testing materials Phase transformation materials Chemical metallurgy Mechanical testing Materials characterization Iron Steel Deformation mechanical simulation modeling Simulation modeling Light metals alloys electroceramics Polymers nanocomposites Process control instrumentation Industrial training defense Joining metals alloys Solidification metals alloys Electrochemical methods metallurgy Powder metallurgy Materials design Energy materials Crystallography x ray diffraction Micro Electro Mechanical Systems Physics materials Science technology composite materials Biomaterials Materials archaeology Minerals resources Mineral process plant design Fuels furnaces refractories Materials recycling sustainability Advances nanoscience nanotechnology composite materials Mineral processing ,bachelor of engineering
75,bachelor of engineering polymer technology,bachelor engineering technology polymer,Electrical electronics Engineering Mechanics Environmental science Materials engineering Organic Chemistry technology Strength Materials Polymer Chemistry Mould manufacturing Polymer Structure property relationships Physical Chemistry Polymers Polymeric Materials rheology fluid mechanics Compounding Analysis Characterisation Polymers Processing Technology reaction testing methods Process Control Instrumentation Rubber Polymer Blends alloys Polymer Product Design Rubber Product Manufacturing Technology Speciality Polymers Adhesives surface coatings Biodegradable Polymers Polyurethane Speciality Elastomers Fibre Technology Plastics Packaging Conducting Nanoscience,bachelor of engineering
76,bachelor of technology polymer science and technology,bachelor technology polymer science technology,Inorganic Chemistry Organic Chemistry Engineering Mechanics Strength Materials Transport Phenomena Mathematics Chemistry Electrical Electronics Engineering Polymer Science Technology Material Energy Balance Calculations Physical Chemistry Thermoplastics Polymer Technology Graphics Mathematics Physics Polymer Science Technology Thermoset Polymers Physics Chemistry Computers Materials Color Physics Harmony Characterization raw materials polymers Operations Instrumentation Project Economics Industrial Management Reaction Pigments Additives Polymers Industrial Psychology Human Resource Management Design Thermoplastics Polymer Technology Compounding Elastomers Additives Polymers Thermoset Polymers Design Fabrication Molds Advanced Polymer Analysis Characterization Synthesis resins polymers raw materials Synthesis resins polymers Synthesis ,bachelor of technology
