index,title,simpletags,deepertags
72,Six Sigma Black Belt,Six Sigma Black Belt,Management Six Sigma Lean Organizations Cycle DMAIC Building Project Charter Process Design Improvement Charting Descriptive Statistics Probability Distributions Process Variation Sampling Process Control Charts Sampling Strategy Appropriate P-Charts Customer Expectations: LSL USL Anticipating Problems Risk Mitigation Confidence Interval Estimation Hypothesis Testing Non Parametric Hypothesis Tests Linear Regression
73,Six Sigma Yellow Belt,Six Sigma Yellow Belt,Value Stream and Process Maps SIPOC DMAIC Seven Wastes Five Ss  Process Mean and Variation Multi-Vari Analysis and X-Y Matrix Control Charts Measuring Variation Normal Distribution Six Sigma Process Failure Mode and Effects Analysis sampling process control Response Plans
74,Certified Six Sigma Greenbelt (CSSGB),Certified Six Sigma Greenbelt CSSGB,Competitive Business Processes Lean Organizations Lean Six Sigma DMAIC Improving Process Flow Lean Manufacturing Supply Chain Product Development Health Care Histograms Pareto Charts Fishbone Diagrams Process Variation Standard Deviation Probability Distributions Sampling Process Control Alpha Beta Errors Appropriate Control Chart Customer Expectations LSL USL Anticipating Problems Risk Mitigation Hypothesis Testing Confidence Interval Estimation Simple Multiple Regression Aflac
75,Materials Science Engineer,mining engineering mechanical materials science metallurgy Bachelor bachelors bachelor's master masters master's technology engineering chemical aerospace metallurgical polymer industrial production applied electronics electrical industrial production material instrumentation ,metal materials production manufacturing Testing assessing materials Developing prototypes scale-up phase Quality Control testing suitability feasibility profitably environmental impact material CAD materials products designs weight strength conductivity cost Analyze product test results Evaluate product material durability performance raw materials quality control product consistency research development utilities companies oil gas companies developing modifying testing evaluating materials planning organising inspections maintenance design objectives heat resistance strength weight cost Conduct raw materials finished products quality standards specifications Plan conduct laboratory operations development fabrication procedures materials Analyze product issues material development process metal alloys mechanical thermal treatments material mechanical designing complex components 3D CAD modeling software integration models CAD Siemens NX KeyCreator Solidworks inventor CREO Computer Aided Engineering CAE  polymer processing Material selection Coatings paints PVD Optical coatings Reliability Validation Testing Failure Analysis finishing coating technologies metals anodization PEO etching primers materials analysis characterizations polymer materials product development Ultra-high accuracy digital microscopes Keyence VHX VR VKX FTIR Spark Optical Emission Spectroscopy Shore Rockwell Vicker’s Hardness testing SEM EDX DSC XRF Metallography Instron mechanical test systems polymer chemistry adhesives polymer physics
76,Mining and Geological Engineer,bachelor bachelors bachelor's master masters master's engineering technology mining geological mineral,Design open-pit underground mines Supervise construction mine shafts tunnels underground operations Devise methods transporting minerals processing plants miners engineers Monitor production land reclamation water air pollution sustainability mines develop equipment direct mineral-processing minerals dirt rock sub-surface surveys identify potential land mining development sites ground support systems processes equipment safe economical environmentally sound extraction construction activities unsafe geological conditions equipment design implement coordinate mine safety programs Inspect mining unsafe structures equipment detect toxic gases recommend measures installation ventilation shafts Select develop mineral location extraction production methods safety cost deposit
77,nanoengineer,bachelor bachelors bachelor's master masters master's nanoengineering science electrical electronics technology,fabricate characterize deliver assemblies cutting-edge experiments laser facilities characterization assembly precision-fabricated sub-millimeter components micron-sized micron tolerances highly-accurate laser robotic assembly systems laser cutting systems glue injection jigs 3D printing systems Characterization duties stereo microscopes x-ray imaging microscopes coordinate measurement automated microscopes ultra-precision micro balances other highly-accurate metrology instruments design tolerances iterate design details engineering scientific technical Obtains analyzes data reports presentations multi-step inspection Designs builds procures necessary tools fixtures quality assurance packaging shipment precision components CAD SolidWorks implement production processes nanoscale designs produce modify materials devices systems unique molecular macromolecular composition Operate advanced microscopy equipment manipulate nanoscale objects images measurements atomic force microscopy scanning electron microscopy optical microscopy particle size analysis zeta potential analysis nanotechnology research production design conduct experiments materials components devices systems Collect compile nanotechnology research engineering data Monitor hazardous waste cleanup procedures nanocomposites thin films carbon nanotubes polymers inorganic coatings 
78,Nuclear Engineer,nuclear science engineering bachelor bachelors bachelor's master masters master's technology mechanical chemical science advanced physics sustainable application technology electrical electronics civil nuclear energy application management diploma ,Nuclear Engineering Physics nuclear fission fusion processes cross sections nuclear interactions mathematical calculus differential equations linear algebra Programming Python C++ Matlab Fortran Provides independent neutronics radiation material activation analysis GEANT-4 TOPAS MCNP diagnostics measurements medical plasma-material surface interaction neutron beam simulations codes tools Study x-rays neutron transport neutron production current future experiments Develop custom analytical codes simulating predicting irradiation Generate physics engineering analysis medical device design testing phantom QA device modeling particle accelerator SRIM CAD nuclear fissile materials nuclear fuel cycle radiological safety fuel storage nuclear WMD WMD delivery systems destruction dismantling warheads delivery fuel reloads fuel core thermal hydraulic design LOCA non-LOCA containment transient analysis logic 
79,structural engineer,bachelor bachelors bachelor's technology engineering master masters master's civil science structural naval architecture ship mechanical building,Design structures buildings bridges structural models computer-aided design loads pressures environmental safety guidelines materials structural specifications on-site construction methods regulations Hands-on AutoCAD designs drawings pressures loads stresses strength construction materials technical safe designs planning building regulations architects engineers Data-driven mindset analysis design sectors utilities functions datacenters Safety Quality structural engineering drafters RC Steel materials detailing drawings compressors pumps static dynamic equipment storage tanks cooling tower basin sump pipe rack foundations structure foundations civil pipe supports water tanks miscellaneous foundations shelters platforms ladders US design codes ASCE-7 AISC 360 ASME STS-1 BPV B31.3 API EuroCodes NBCC AS NZ Russian Chinese IS Codes pressure vessel stack pressure piping steel structure design STAAD Pro RAM Connections LimCon COMPRESS CAESAR MecaStack PRG Software ANSYS welding fabrication layouts engineering fabrication drawings national internal standards
80,Telecommunications Engineer,Certified Telecommunications Network Specialist CTNS Certified Telecommunications Subject Matter Expert CTSME Certified IP Telecom Network Specialist CIPTS Certified Telecommunications Analyst CTA Certified VoIP Analyst CVA Certified Wireless Analyst  CWA Nokia Networking Routing Specialist NRS ICisco Certified Internetwork Expert Cisco Certified Design Expert CCDE Certified Convergent Networking Technologies Nokia Service Routing Architect SRA Nokia Mobile Routing Professional Juniper Networks Certified Professional Data Center JNCIP,Configure install network devices services Firewall Switches routers VPN QoS LAN WLAN architecture server network infrastructure security tools policies analyze implement security protocols security issue hardware security authentication protocol routing protocols MPLS HAIPE IP QOS WAN server switches Network security IT security web security gateways perimeter security network access controls endpoint security Microsoft Linux  Mac OS PaloAlto Firewall Cisco Nexus Cisco Catalyst Meraki network infrastructure network hardware network infrastructure devices firewall wireless access points Switches routers network infrastructure protocols Develop maintain automation integration cloud environments Network Engineers design code  deployment orchestration integration workflows Develop automation technology building maintaining private cloud Research emerging automation technologies Design implement manage network security cloud security firewalls endpoint protection cross functional environment DevOps Agile project management methodology automation engineering systems administration development automation development Ansible automation technologies Python Perl Java Git GitLab GitHub BitBucket software-sharing technologies OpenStack Docker  Kubernetes Linux operating system open-source Linux-based F5 load balancing InfoBlox DNS Cisco Firewalls Routers switches cloud transformation Azure AWS
81,Certified Telecommunications Network Specialist (CTNS),Certified Telecommunications Network Specialist CTNS,telecom business cellular WiFi Ethernet LANs IP packets addresses routers networks MPLS Internet VoIP VPNs Broadband Converged IP Telecom first pass designed non-engineers Convergence Broadband Network Core Edge Protocols Last Mile Copper Fiber Wireless Network Equipment Residential Business Wholesale Services Carrier Connections Residential Business Wholesale Services Carrier Connections Wireless Telecommunications Mobile network radio cellular fundamentals Phone calls mobile Internet over cellular 4G LTE OFDMA 5G spectrum Wi-Fi Wi-Fi security satellite communications Voice over IP Big Picture VoIP Phones Terminals Voice IP Packets Soft Switches SIP Servers Call Managers Media Servers Gateways LAN WAN SIP Trunking Standards Broadband IP Dial Tone PSTN Loops trunks analog voiceband LECs CLECs IXCs POTS SS7 OSI Layers Protocol Stacks Protocols standards OSI Model Layers Layer 2 Layer 3 Protocol stacks protocol stacks LANs VLANs Wireless Optical Ethernet LAN Ethernet 802 standards MAC MAC LAN switches broadcast domains VLANs Ethernet twisted pair Cat 5e/6 cables Wi-Fi fiber Optical Ethernet IP Networks Routers Addresses Packet network Routers IP packets IP Static dynamic public private addresses Network Address Translation NAT IPv6 MPLS Carrier Networks Carrier network Customer Edge CE device Service Level CoS MPLS traffic management VPNs integrated access MPLS Services Internet service 
82,Certified Telecommunications Subject Matter Expert (CTSME),Certified Telecommunications Subject Matter Expert CTSME,CTNS Telecommunications Network Specialist Broadband Converged IP Telecom Wireless Telecommunications Voice over IP PSTN OSI Layers Protocol Stacks LANs VLANs Wireless Optical Ethernet IP Networks Routers Addresses MPLS and Carrier Networks CTA Certified Telecommunications Analyst Telephony Voice IP Telecom Equipment Digital Transmission Systems Fiber Optics Wireless Datacom Networking Data Coding Frames Packets Modems Representing Bits Radio Copper Network Cloud Service Implementation OSI Layers Protocol Stacks LANs VLANs Wireless Optical Ethernet IP Networks Routers Addresses MPLS Carrier Networks IP Security CVA Certified VoIP Analyst Voice over IP VoIP Architectures Choices Softswitches SIP Call Setup SIP Trunking Voice Packetization Codecs Voice Quality SIP Trunking Carrier Connections IP Network Quality CoS QoS MPLS SLAs CWA Certified Wireless Analyst Wireless Fundamentals Mobile Communications Fixed Wireless 
83,Certified IP Telecom Network Specialist (CIPTS),Certified IP Telecom Network Specialist CIPTS,OSI Layers Protocol Stacks Protocols standards OSI Model Layer 2 Layer 3 Protocol stacks LANs VLANs Wireless Optical Ethernet LAN Ethernet 802 standards MAC addresses MAC frames LAN switches broadcast domains VLANs Ethernet twisted pair Cat 5e/6 cables radio Wi-Fi fiber Optical Ethernet IP Networks Routers Addresses Packet network fundamentals Routers IP packets IP addresses Static dynamic public private addresses Network Address Translation NAT IPv6 MPLS Carrier Networks Carrier network Customer Edge CE device Service Level Agreements CoS MPLS traffic management VPNs integrated access
84,Certified Telecommunications Analyst (CTA),Certified Telecommunications Analyst CTA,Telephony Voice over IP Telecom Equipment Digital Transmission Systems Fiber Optics Wireless Telecommunications Datacom Networking Data Coding Frames Packets Modems Representing Bits Radio Copper Network Cloud Service Implementation LANs VLANs Wireless Optical Ethernet OSI Layers Protocol Stacks IP Networks Routers Addresses MPLS Carrier Networks IP Security
85,Certified VoIP Analyst (CVA),Certified VoIP Analyst CVA,VOICE OVER IP VoIP ARCHITECTURES IMPLEMENTATION CHOICES SOFTSWITCHES SIP CALL SETUP SIP TRUNKING VOICE PACKETIZATION CODECS VOICE QUALITY SIP TRUNKING CARRIER CONNECTIONS IP NETWORK QUALITY COS QOS MPLS SLAs 
86,Certified Wireless Analyst (CWA),Certified Wireless Analyst CWA,Radio spectrum Digital radio modems modulation Mobile Communications Cellular principles Mobility handoffs Digital voice Mobile Internet Access 4G LTE 5G New Radio technologies OFDM OFDMA Fixed Wireless Wireless LANs 802.11 standards Wi-Fi security Bluetooth WiMAX point-to-point satellites 
87,Nokia Networking Routing Specialist (NRS),Nokia Networking Routing Specialist NRS, IP Ethernet Technologies  NRS I training TCP/IP layered model Ethernet Internet addressing packet forwarding routing protocols MPLS tunneling Virtual Private Network VPN services
88,Cisco Certified Internetwork Expert,Cisco Certified Internetwork Expert,Network Designer Architect Lead Enterprise IT Infrastructure Team Contributor Enterprise Architecture team
89,Cisco Certified Design Expert (CCDE),Cisco Certified Design Expert CCDE,Business Strategy Design Control data management plane Network Service Design Security network design implementation customer project management methodologies waterfall agile business continuity operational sustainability RPO ROI CAPEX/OPEX cost analysis risk/reward End-to-end IP traffic flow Data control management plane technologies Centralized decentralized hybrid control plane Automation/orchestration integration on-going networks APIs model-driven management controller-based technologies  evolution CI/CD framework Software-defined architecture controller-based solution design SD-WAN overlay underlay fabric scalable modular networks software-defined architectures Technical constraints requirements Operational constraints Application behavior needs Business requirements Implementation plans Migration transformation Cloud/hybrid solutions business-critical operations Regulatory compliance Data governance sovereignty ownership SaaS PaaS IaaS Cloud connectivity direct connect cloud ramp MPLS direct connect WAN Security
90,Certified Convergent Networking Technologies,Certified Convergent Networking Technologies,Technical Sales Support Engineers Network Administrators Engineers Product Managers Telecommunications analog digital networks business communications systems signaling Internet telephony switching Data Communications software hardware network architecture packet switching fiber optics data communication channels data communication Computer Telephone Integration CTI telephone system routing calls switches architecture system development Local Area Networks LANs develops LAN topologies transmission techniques media standards network management Broadband Technologies voice data integration frame relay SONET ATM cell relay SMDS BISDN DSL VPN Voice over IP VoIP networks bandwidth compression the Gateway packet prioritization RSVP H.320 H.323 WAN 
91,Nokia Service Routing Architect (SRA),Nokia Service Routing Architect (SRA),"Quality Service Nokia SRA Virtual Private Routed Networks Border Gateway Protocol Virtual Private LAN Services Nokia IP Networks and Services Fundamentals Nokia IS-IS Routing Protocol OSPF Routing Protocol Border Gateway Protocol Multiprotocol Label Switching Services Architecture Border Gateway Protocol Internet Routing Virtual Private LAN Services Virtual Private Routed Networks Quality Service Multicast Protocols Segment Routing	Ethernet Virtual Private Network Services Network Service Router Security"
92,Nokia Mobile Routing Professional,Nokia Mobile Routing Professional,"Quality Service Nokia SRA Virtual Private Routed Networks Border Gateway Protocol Virtual Private LAN Services Nokia IP Networks and Services Fundamentals Nokia IS-IS Routing Protocol OSPF Routing Protocol Border Gateway Protocol Multiprotocol Label Switching Services Architecture Border Gateway Protocol Internet Routing Virtual Private LAN Services Virtual Private Routed Networks Quality Service Multicast Protocols Segment Routing	Ethernet Virtual Private Network Services Network Service Router Security"
93,Juniper Networks Certified Professional Data Center (JNCIP),Juniper Networks Certified Professional: Data Center JNCIP,Data Center Deployment Management data center deployment Zero Touch DHCP data center management Monitoring Analytics Layer 3 Fabrics IP Fabric IP Fabric architecture routing scaling configuring monitoring VXLAN Data plane configuring monitoring troubleshooting VXLAN Layer 3 Fabrics 3-stage Clos architecture IP Fabric routing IP Fabric scaling configuring monitoring troubleshooting VXLAN L2VPN Multicast control plane Data plane configuring monitoring troubleshooting EVPN VXLAN Signaling EVPN Route types EVPN multicast MP-BGP AVPN architectures CRB ERB MAC Learning configuring monitoring troubleshooting EVPNs Data Center Interconnect DCI concepts Interconnect network types Layer 2 3 stretch Stitching EVPN-signaled VXLAN DCI Data Center Architecture Security single-tenant multi-tenant architectures Traffic isolation Multi-tenancy routing instances security concepts Filter-based forwarding 
94,Thermal Engineer,bachelor bachelors bachelor's master masters master's engineering technology mechanical physics science Mechanical Engineering electrical Engineering chemical thermal sciences science fluids aerospace aeronautical astronautical fluid mechanics solar energy ,design analysis Icepak FloTHERM thermal designs Designing thermal solutions thermal mitigation server datacenters System level validation debug Thermal Power KPIs performance tuning thermals sharing performance tuning CPU GPU CPU Central Processing Unit GPU Graphics Processing Units thermal dissipation thermal measurements C C++ Java Python Software Engineering Liquid cooling immersion technologies Mathematical Methods Object-Oriented Programming OOP Scientific Analysis Software Development Lifecycle SDLC heatsink TIM heat transfer fluid mechanics CFD electro-mechanics product development thermal simulation tool FlothermXT flotherm Icepak telecom HW development refrigerant cycle thermal dynamics fluid mechanics power electronics HV compressor HV heater refrigerant coolant DV PV Thermal system vehicle integration powertrain power electronics vehicle integration body structure energy storage system thermal component packaging installation optimize thermal components integrated thermal management suppliers design evaluation validation thermal components hardware testing thermal management system hardware functionality CAD DFMEA EMC EMI Thermal Analysis articulation automation temperature mapping orbit definition Maya TMG NX Thermal STK SINDA FEMAP NASTRAN ANSYS MATLAB Python Visual Basic VB.NET C# Java 
95,Transport Engineer,bachelor technology engineering civil engineering masters master master's transport planning highway transportation transportations systems planning science planning mechanical automobile automotive electrical electronics communication communications,research planning design Design transportation systems airports commuter trains highways streets bridges drainage structures roadway lighting computer-aided design CAD planning design traffic micro-simulation modelling design improve signs develop control systems vehicle-to-vehicle V2V communications driverless cars traffic flow traffic Design engineer drainage erosion sedimentation control systems transportation projects technology materials construction traffic safety traffic operations maintenance highways bridges airports railways structures Designs highways bridges drainage structures intelligent transportation traffic management systems technology traffic operations theory utilities roadway lighting traffic control devices intelligent transportation systems ITS development maintenance traffic management policies procedures monitor traffic flow conditions operational improvements transportation system existing highway systems materials equipment location design construction highways bridges structures highway laws codes standards highway engineering materials techniques design construction highways bridges 
96,Vehicle Engineer,Bachelor bachelors bachelor's masters master's Master degree technology Automotive Mechanical Electrical Engineering automotive automobile electrical mechanical science robotics mechatronics aerospace sciences systems mechatronics communication aerospace telecommunication electronics mechanics vehicle,autonomous vehicle industry robo-taxi programs Writing scripts Python C++  CAD modeling vehicular embedded systems hardware software accomplished project delivered product system components consisting mechanical electrical thermal CAN control system automotive environment complex mechanical electrical system diagrams engineering root cause solve vehicle hardware system issues sensor benchmark testing hardware configuration autonomous vehicle hardware build Automotive Robotics industry complex system component design engineering testing manufacturing
97,Public Health Worker,Certified in Public Health CPH First Aid CPR AED Instructor Basic Life Support BLS Certified Health Education Specialist CHES Certification Forensic Social Work CFSW Master Certified Health Education Specialist MCHES,health management policy disasters emergencies health education communication management administrative health regulations policy making law business finance writing public health certification programs sociology disasters public health industry  biostatistician epidemiologist environmental scientist engineer project manager environmental health health educator water quality specialist public health officer community health workers health safety engineer patient advocate public health workers  health hazards air pollution climate change science electromagnetic fields sea levels acid rain greenhouse gases behavioral science health education biostatistics international global health epidemiology
98,Certified in Public Health (CPH),Certified Public Health CPH,"biostatistics community health health behavior environmental health epidemiology health services administration Public Health Communication Leadership Law Ethics Public Health Biology Human Disease Risk Collaboration Partnership Program Planning Evaluation Management Policy Public Health Health Equity Social Justice organizational community communication collaboration Educate public health interconnectedness activities Strengthen diverse network partners state local public health systems
strengths weaknesses quality improvement public health practice "
99,"First Aid, CPR and AED Instructor",First Aid CPR AED Instructor,
100,Basic Life Support (BLS),Basic Life Support BLS,Medical Internship Service Worker Mental Health Specialist healthcare professionals life-threatening emergencies CPR AED 
101,Certified Health Education Specialist (CHES),Certified Health Education Specialist CHES,Assess Needs Resources Capacity Health Education Promotion Plan Health Education Promotion Implement Health Education Promotion Conduct Evaluation Research Related Health Education Promotion Administer Manage Health Education Promotion Serve Health Education Promotion Resource Person Communicate Promote Health Profession Health Education Promotion
102,Certification in Forensic Social Work (CFSW),Certification Forensic Social Work CFSW,Licensed Medical Senior Psychotherapist Social Worker law legal system criminal civil Forensic social workers children families custody separation divorce neglect social workers child spouse abuse Forensic social workers juvenile adult justice services corrections 
103,Master Certified Health Education Specialist (MCHES),Master Certified Health Education Specialist MCHES,health education specialists designed health education specialists responsible developing managing budgets applying ethical principles designed health education specialists responsible identifying staff development training designed health education specialists develop monitor strategic plans
104,Health/Medical Journalism and Medical Writer,Medical Writer Certified MWC,ethics principles medical content terminology medical information journalism public health
105,Medical Writer Certified (MWC),Medical Writer Certified MWC,communication expertise awareness ethical standards health care knowledge gather evaluate organize interpret present information medicine health target audiences expertise scientific advances healthcare professionals educates public about medical discoveries
106,Clinical Forensic Medical Examiner,Certified Phlebotomy Technician CPT Medical Assistant Emergency Medical Technician EMT Registered Medical Assistant Medical Examiner Certification Certified Billing Coding Specialist CBCS Emergency Medicine Certified Medical Office Manager CMOM,Perform autopsies Evaluate historical law-enforcement investigative information Collect medical evidence Document sexual assault Reconstruct a cause of death medical training forensic pathologists toxicology wound ballistics trace evidence DNA technology forensic serology Collects preserves evidence toxicologic samples autopsy autopsies extraction fluids tissue samples
107,Certified Phlebotomy Technician (CPT),Certified Phlebotomy Technician CPT,
108,Medical Assistant,Medical Assistant,
109,Emergency Medical Technician (EMT),Emergency Medical Technician EMT,
110,Registered Medical Assistant,Registered Medical Assistant,
111,Medical Examiner Certification,Medical Examiner Certification,
112,Certified Billing and Coding Specialist (CBCS),Certified Billing Coding Specialist CBCS,
113,Emergency Medicine,Emergency Medicine,
114,Certified Medical Office Manager (CMOM),Certified Medical Office Manager CMOM,
115,Medico Legal Advisor,bachelor medicine bachelor surgery doctor medicine forensic science medicine post graduate medical law ethics biophysics masters master master's business administration management hospital post graduate care health LLB homeopathic healthcare internal ethics dental diploma radiology ,Defending clinical negligence claims Reviewing fact-checking statements submission solicitors HM Coroner Preparing clinicians evidence witnesses court Providing emergency advice healthcare professionals dispute resolution mediation witness claimant defence solicitor firms Handling non-clinical staff members visitors Teaching healthcare professionals disseminating learning legal 
116,Medical/Pharmaceutical Researcher,ACRP Certified Professional Clinical Research Coordinator Clinical Research Associate Principal Investigator ACRP Medical Device Professional Subspecialty ACRP Project Manager Subspecialty Medical Assistant Certified Nurse Assistant CNA Certified Phlebotomy Technician CPT Registered Medical Assistant Certified Clinical Medical Assistant NHA Emergency Medical Technician EMT Nationally Certified Medical Assistant NCMA Certified Medical Administrative Assistant CMAA Certified EKG Technician CET,devising planning conducting research trials conduct research health status longevity clinical investigations human diseases lab work Clinical Trial Management System CTMS Electronic Document Management System EDMS clinical research studies protocol standard operating procedures good clinical practice GCP guidelines applicable regulatory requirements Perform site selection initiation monitoring contracted scope work GCP guidelines informed consent document  procedures Negotiate study budgets site contracts Provide monitoring visits protocols Administer protocol study-related quality integrity conduct protocol regulations quality CPM  line manager medical records protocol deviations risks subject safety data integrity investigational product accountability Study Monitoring
117,ACRP Certified Professional,ACRP Certified Professional,
118,Clinical Research Coordinator,Clinical Research Coordinator,
119,Clinical Research Associate,Clinical Research Associate,
120,Principal Investigator,Principal Investigator,
121,ACRP Medical Device Professional Subspecialty,ACRP Medical Device Professional Subspecialty,
122,ACRP Project Manager Subspecialty,ACRP Project Manager Subspecialty,
123,Certified Nurse Assistant (CNA),Certified Nurse Assistant CNA,
124,Registered Medical Assistant,Registered Medical Assistant,
125,Certified Clinical Medical Assistant (NHA),Certified Clinical Medical Assistant NHA,
126,Nationally Certified Medical Assistant (NCMA),Nationally Certified Medical Assistant NCMA,
127,Certified Medical Administrative Assistant (CMAA),Certified Medical Administrative Assistant CMAA,
128,Certified EKG Technician (CET),Certified EKG Technician CET,
129,Transplant Coordinator,Certified Procurement Transplant Coordinator CPTC Basic Life Support BLS Certified Clinical Transplant Coordinator CCTC Certified Clinical Transplant Nurse CCTN,pre-transplant transplant patients eligibility criteria patients families physicians analyze pre-transplant clinical data collaborate transplantation obtain medical social histories Coordinate pre-transplant transplant summaries clinic visit summaries post-discharge planning education  Compile review post-discharge data clinical management Outpatient Transplant Clinic continuity care between inpatient admissions outpatient medical faculty nursing personnel health disciplines UW Health Transplant Program UNOS guidelines Provide telephone consultation problems symptoms protocols community physicians health professionals Implement coordinate 
130,Certified Procurement Transplant Coordinator (CPTC),Certified Procurement Transplant Coordinator CPTC," clinical duties donor identification authorization management organ recovery post donation Transplant Preservationists organ recovery aseptic techniques organ preservations specimen collection packing labeling shipping Evaluation Transplant Waitlist Management
Deceased Donor Selection Assessment Complications Immunology Rejection Pharmacology Living Donor Pre Post-Transplant Lung Heart Lung Transplantation Infectious Disease Heart Transplantation Kidney Pancreas Transplantation Liver Intestine Transplantation Post-Transplant Management"
131,Certified Clinical Transplant Coordinator (CCTC),Certified Clinical Transplant Coordinator CCTC,Evaluation Preparation Transplant Waitlist Management Deceased Donor Selection Assessment Complications Immunology Rejection Pharmacology Living Donor Pre Post-Transplant Lung Heart Lung Transplantation Infectious Disease Heart Transplantation Kidney Pancreas Transplantation Liver Intestine Transplantation Post-Transplant Management
132,Certified Clinical Transplant Nurse (CCTN),Certified Clinical Transplant Nurse CCTN,Evaluation Preparation Transplant Waitlist Management Deceased Donor Selection Assessment Complications Immunology Rejection Pharmacology Living Donor Pre Post-Transplant Lung Heart lung Transplantation Infectious Disease Heart Transplantation Kidney Pancreas Transplantation Liver Intestine Transplantation Post-Transplant Management
133,Radiology/ Diagnostic Imaging,bachelor bachelors bachelor's master masters master's medical science medical radiography diploma radiography technology emergency medicine biotechnology medicine surgery engineering business management general imaging biomedical post graduate ,safety equipment log books support service machines work flow consumables drugs developer fixer chemicals x-ray radiation safety x-ray patients processing chemicals processors rollers processing films film chemical radiograph radiologist radiology procedures
134,Sports Medicine,bachelor medicine bachelor surgery doctor medicine sports master physical therapy physiotherapy clinical biomechanics rehabilitation master masters master's bachelors bachelor's conditioning post graduate diploma orthopedic orthopedics exercise national board health family welfare clinical management strength science dnb dsm diplomate national board ,"Assessment Evaluation Sports Medicine Biomechanics Applied Basic Medicine Sciences Research Educational Methodology Kinesiology Applied Para Clinical Sciences Physical Medicine Exercise Physiology Nutrition Kinanthropometry Non-Traumatic Medical Conditions Athlete Sports Traumatology Sports Physical Medicine Applied Exercise Physiology Current Concepts Sports Medicine Sports Psychology	Emergency Care Cardiopulmonary Therapeutics Medical Aspects Sports Medicine Foundations Principles Healthcare Management"
138,Investment Banking,Chartered Financial Analysts CFA Certified Financial Planner CFP Financial Risk Manager FRM Chartered Alternative Investment Analyst CAIA Certified Public Accountant CPA Chartered Mutual Fund Counsellor CMFC Investment Banking Certification NYIF Certified Financial Modeling Valuation Analyst FMVA Mergers Acquisitions Professional Certificate NYIF Professional Certificate Valuation NYIF Capital Markets Professional Certificate NYIF Certified Management Accountant,Design enable execute measure product program launches market plans Develop marketing plans collaborating demand gen web/digital customer marketing compelling messaging customer marketing assets sales enablement assets marketing sales partner team Continually improve enablement Python Matlab R q KDB  SQL Java C++ business model strategy products new markets Preparing analyzing explaining historical projected financial information preparation financial models business valuations  Advisory services mergers acquisitions strategic assignments Industry coverage Consumer Retail Real Estate Gaming Lodging Leisure Financial Institutions Healthcare Technology Media Telecoms Industrials Financial Sponsors Client Financing Solutions Product specialists capital markets financing functions including Acquisition Leveraged Finance Equity Capital Markets Debt Capital Markets Syndicate industry company-specific business due diligence quantitative analysis managing manipulating simplifying analyzing complex datasets SQL Python R Proven develop actionable recommendations qualitative quantitative data quantitative modeling abilities data heavy insights technical non-technical debt equity financing M&A modeling valuation techniques analytical quantitative problem solving Drafting Developing underlying trends business models Product Engineering Marketing Finance teams Conducting fundamental due diligence financial analyses investment opportunities Creating financial models valuation frameworks price analyses investment theses management teams sell side research analysts Equity Capital Markets Sales Trading professionals market industry participants investment banking investment management financial modelling analysis skills 
139,Chartered Financial Analysts (CFA),Chartered Financial Analysts CFA,"accounting finance Excel skills financial modeling business valuation intermediate finance financial analysis accounting principles methods models Excel statement model DCF model M&A model Valuing business comparable company analysis precedent transactions discounted cash flow Distilling large amounts insightful charts graphs presentations Communicating results financial analysis executive decision making Ethical and Professional Standards	Quantitative Methods Economics Financial Statement Analysis Corporate Issuers Equity Investments Fixed Income Derivatives Alternative Investments Portfolio Management Wealth Planning"
140,Certified Financial Planner (CFP),Certified Financial Planner CFP,risk management retirement planning debt management investment planning Professional Conduct Regulation Financial Planning Risk Management Insurance Planning Investment Planning Tax Planning Retirement Savings Income Planning Estate Planning Psychology Financial Planning Financial Plan Development
141,Financial Risk Manager (FRM),Financial Risk Manager FRM,Risk Management Quantitative Analysis Financial Markets Products Valuation Risk Models Market Risk Measurement Management Credit Risk Measurement Management Operational Integrated Risk Management Risk Management Investment Management Current Issues Financial Markets 
142,Chartered Alternative Investment Analyst (CAIA),Chartered Alternative Investment Analyst CAIA,hedge funds venture capital private equity derivatives real estate Professional Standards Ethics Alternative Investments Real Assets Commodities Hedge Funds Private Equity Structured Products Models Institutional Asset Owners Investment Policies Risk Management Methods Alternative Investing Due Diligence Selecting Strategies Volatility Complex Strategies Current Integrated Topics Securities Commodity Contracts Financial Investments Credit Intermediation Professional Scientific Technical Services Management Companies Enterprises Insurance Carries Investment Analyst Investment Manager Portfolio Manager Credit Structurer Risk Analyst
143,Certified Public Accountant (CPA),Certified Public Accountant CPA,"Fundamentals Internal Auditing Internal Audit SchoolAuditing Cybersecurity Program Auditing Fraud Payroll Audit Report Writing  Auditing Courses Auditing Fraud Forensic Accounting Payroll Administration Retirement Plan Administration Sales Tax Tax Prep
Insurance Securities Licensing"
144,Chartered Mutual Fund Counsellor (CMFC),Chartered Mutual Fund Counsellor CMFC,Chartered Mutual Fund Counselor open closed-end funds packaged investment products risk return asset allocation mutual fund retirement planning Investment Management Investment Management Python Machine Learning Portfolio Risk Management International Taxation Portfolio Management Strategies Wealth Management Planning Advanced Wealth Management  Mutual Funds Various Mutual Fund Products Selecting Right Mutual Fund Operation Mutual Fund Company Trends Mutual Fund Industry Exchange Traded Funds 
